sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|implicita|quantidade
1|260|3|4|11|204|3|2|9|=7,970000E-007|=7,970000E-007|=7,980000E-007|=8,040000E-007|=8,080000E-007|=8,350000E-007|=8,100000E-007|=8,000000E-007|=8,010000E-007|=7,990000E-007|=8,020000E-007|=7,990000E-007|=8,050000E-007|=7,980000E-007|=8,020000E-007|1,000000e-009|1000000
2|1028|15|16|47|312|6|2|15|=6,365000E-006|=6,352000E-006|=6,397000E-006|=6,375000E-006|=6,408000E-006|=6,357000E-006|=6,368000E-006|=6,409000E-006|=6,343000E-006|=6,373000E-006|=6,369000E-006|=6,376000E-006|=6,354000E-006|=6,349000E-006|=6,346000E-006|1,000000e-009|1000000
3|4100|63|64|191|420|9|2|21|=3,191000E-005|=3,201000E-005|=3,178000E-005|=3,190000E-005|=3,226000E-005|=3,191000E-005|=3,195000E-005|=3,198000E-005|=3,228000E-005|=3,193000E-005|=3,188000E-005|=3,208000E-005|=3,198000E-005|=3,195000E-005|=3,205000E-005|1,000000e-008|100000
4|16388|255|256|767|528|12|2|27|=1,584000E-004|=1,585000E-004|=1,580000E-004|=1,580000E-004|=1,582000E-004|=1,582000E-004|=1,586000E-004|=1,585000E-004|=1,586000E-004|=1,582000E-004|=1,582000E-004|=1,581000E-004|=1,583000E-004|=1,581000E-004|=1,582000E-004|1,000000e-007|10000
5|65540|1023|1024|3071|636|15|2|33|=9,780000E-004|=9,765000E-004|=9,756000E-004|=9,776000E-004|=9,760000E-004|=9,758000E-004|=9,769000E-004|=1,006000E-003|=1,001000E-003|=9,766000E-004|=9,794000E-004|=9,879000E-004|=9,771000E-004|=9,746000E-004|=9,763000E-004|1,000000e-007|10000
6|262148|4095|4096|12287|744|18|2|39|=1,428000E-002|=1,437000E-002|=1,406000E-002|=1,441000E-002|=1,409000E-002|=1,433000E-002|=1,450000E-002|=1,432000E-002|=1,442000E-002|=1,419000E-002|=1,424000E-002|=1,423000E-002|=1,479000E-002|=1,442000E-002|=1,451000E-002|1,000000e-005|100
7|1048580|16383|16384|49151|852|21|2|45|=2,560000E-001|=2,582000E-001|=2,530000E-001|=2,560000E-001|=2,602000E-001|=2,611000E-001|=2,564000E-001|=2,592000E-001|=2,591000E-001|=2,617000E-001|=2,564000E-001|=2,590000E-001|=2,549000E-001|=2,560000E-001|=2,602000E-001|1,000000e-004|10
8|4194308|65535|65536|196607|960|24|2|51|=5,218000E+000|=5,545000E+000|=5,129000E+000|=5,282000E+000|=5,324000E+000|=5,272000E+000|=5,423000E+000|=5,448000E+000|=5,054000E+000|=5,318000E+000|=5,413000E+000|=5,474000E+000|=5,321000E+000|=5,475000E+000|=5,387000E+000|1,000000e-003|1
9|16777220|262143|262144|786431|1068|27|2|57|=1,173780E+002|=1,132010E+002|=1,127630E+002|=1,088830E+002|=1,162960E+002|=1,123860E+002|=1,128760E+002|=1,117860E+002|=1,125210E+002|=1,166000E+002|=1,079730E+002|=1,139290E+002|=1,133910E+002|=1,063940E+002|=1,118300E+002|1,000000e-003|1
