sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|implicita|quantidade
1|260|3|4|11|168|2|2|7|=8,710000E-007|=8,810000E-007|=8,710000E-007|=8,770000E-007|=8,880000E-007|=8,730000E-007|=8,730000E-007|=8,750000E-007|=8,730000E-007|=8,820000E-007|=8,730000E-007|=8,750000E-007|=8,700000E-007|=8,660000E-007|=8,910000E-007|1,000000e-009|1000000
2|1028|15|16|47|312|6|2|15|=6,030000E-006|=6,028000E-006|=6,023000E-006|=6,021000E-006|=6,021000E-006|=6,043000E-006|=6,032000E-006|=6,034000E-006|=6,039000E-006|=6,040000E-006|=6,044000E-006|=6,038000E-006|=6,032000E-006|=6,042000E-006|=6,049000E-006|1,000000e-009|1000000
3|4100|63|64|191|456|10|2|23|=3,100000E-005|=3,098000E-005|=3,128000E-005|=3,105000E-005|=3,110000E-005|=3,125000E-005|=3,102000E-005|=3,102000E-005|=3,113000E-005|=3,111000E-005|=3,108000E-005|=3,106000E-005|=3,109000E-005|=3,092000E-005|=3,092000E-005|1,000000e-008|100000
4|16388|255|256|767|600|14|2|31|=1,538000E-004|=1,540000E-004|=1,536000E-004|=1,539000E-004|=1,536000E-004|=1,537000E-004|=1,538000E-004|=1,540000E-004|=1,538000E-004|=1,536000E-004|=1,536000E-004|=1,536000E-004|=1,533000E-004|=1,568000E-004|=1,569000E-004|1,000000e-007|10000
5|65540|1023|1024|3071|744|18|2|39|=9,546000E-004|=9,543000E-004|=9,548000E-004|=9,564000E-004|=9,539000E-004|=9,534000E-004|=9,546000E-004|=9,556000E-004|=9,536000E-004|=9,553000E-004|=9,558000E-004|=9,557000E-004|=9,539000E-004|=9,561000E-004|=9,547000E-004|1,000000e-007|10000
6|262148|4095|4096|12287|888|22|2|47|=1,109000E-002|=1,123000E-002|=1,128000E-002|=1,111000E-002|=1,121000E-002|=1,100000E-002|=1,111000E-002|=1,118000E-002|=1,113000E-002|=1,112000E-002|=1,110000E-002|=1,116000E-002|=1,121000E-002|=1,119000E-002|=1,115000E-002|1,000000e-005|100
7|1048580|16383|16384|49151|1032|26|2|55|=1,843000E-001|=1,816000E-001|=1,837000E-001|=1,823000E-001|=1,823000E-001|=1,875000E-001|=1,822000E-001|=1,838000E-001|=1,808000E-001|=1,857000E-001|=1,822000E-001|=1,822000E-001|=1,829000E-001|=1,829000E-001|=1,839000E-001|1,000000e-004|10
8|4194308|65535|65536|196607|1176|30|2|63|=4,642000E+000|=4,383000E+000|=4,564000E+000|=4,727000E+000|=4,721000E+000|=4,537000E+000|=4,966000E+000|=4,610000E+000|=4,544000E+000|=4,761000E+000|=4,298000E+000|=4,678000E+000|=4,711000E+000|=4,638000E+000|=4,390000E+000|1,000000e-003|1
9|16777220|262143|262144|786431|1320|34|2|71|=1,369310E+002|=1,344750E+002|=1,366840E+002|=1,327210E+002|=1,430730E+002|=1,451710E+002|=1,334970E+002|=1,293660E+002|=1,340470E+002|=1,373880E+002|=1,319950E+002|=1,294730E+002|=1,462030E+002|=1,345020E+002|=1,318370E+002|1,000000e-003|1
