sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|implicita|quantidade
1|260|3|4|11|168|2|2|7|=1,127000E-006|=1,131000E-006|=1,112000E-006|=1,119000E-006|=1,117000E-006|=1,118000E-006|=1,136000E-006|=1,135000E-006|=1,126000E-006|=1,133000E-006|1,000000e-009|1000000
2|1028|15|16|47|312|6|2|15|=8,030000E-006|=8,025000E-006|=8,007000E-006|=8,102000E-006|=8,039000E-006|=8,024000E-006|=8,121000E-006|=8,051000E-006|=8,145000E-006|=8,126000E-006|1,000000e-009|1000000
3|4100|63|64|191|456|10|2|23|=4,220000E-005|=4,220000E-005|=4,164000E-005|=4,187000E-005|=4,217000E-005|=4,183000E-005|=4,211000E-005|=4,222000E-005|=4,166000E-005|=4,177000E-005|1,000000e-008|100000
4|16388|255|256|767|600|14|2|31|=2,002000E-004|=1,974000E-004|=1,992000E-004|=1,977000E-004|=1,992000E-004|=1,979000E-004|=1,975000E-004|=1,977000E-004|=1,990000E-004|=1,993000E-004|1,000000e-007|10000
5|65540|1023|1024|3071|744|18|2|39|=1,105000E-003|=1,110000E-003|=1,138000E-003|=1,112000E-003|=1,106000E-003|=1,090000E-003|=1,103000E-003|=1,106000E-003|=1,097000E-003|=1,093000E-003|1,000000e-006|1000
6|262148|4095|4096|12287|888|22|2|47|=1,075000E-002|=1,076000E-002|=1,073000E-002|=1,056000E-002|=1,071000E-002|=1,071000E-002|=1,061000E-002|=1,051000E-002|=1,077000E-002|=1,074000E-002|1,000000e-005|100
7|1048580|16383|16384|49151|1032|26|2|55|=1,613000E-001|=1,624000E-001|=1,624000E-001|=1,616000E-001|=1,587000E-001|=1,595000E-001|=1,588000E-001|=1,635000E-001|=1,622000E-001|=1,629000E-001|1,000000e-004|10
8|4194308|65535|65536|196607|1176|30|2|63|=2,985000E+000|=2,960000E+000|=2,976000E+000|=2,958000E+000|=3,051000E+000|=3,067000E+000|=3,055000E+000|=3,005000E+000|=3,024000E+000|=3,010000E+000|1,000000e-003|10
9|16777220|262143|262144|786431|1320|34|2|71|=7,075900E+001|=7,034800E+001|=6,926900E+001|=7,613500E+001|=7,005100E+001|=6,893200E+001|=6,990000E+001|=7,015900E+001|=7,443200E+001|=7,077700E+001|1,000000e-003|10
