sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|implicita|quantidade
1|260|3|4|11|204|3|2|9|=8,800000E-007|=8,730000E-007|=8,800000E-007|=9,150000E-007|=8,810000E-007|=8,800000E-007|=8,790000E-007|=8,780000E-007|=8,850000E-007|=8,780000E-007|1,000000e-009|1000000
2|1028|15|16|47|312|6|2|15|=8,489000E-006|=8,478000E-006|=8,387000E-006|=8,472000E-006|=8,371000E-006|=8,356000E-006|=8,430000E-006|=8,435000E-006|=8,481000E-006|=8,451000E-006|1,000000e-009|1000000
3|4100|63|64|191|420|9|2|21|=4,233000E-005|=4,228000E-005|=4,238000E-005|=4,182000E-005|=4,239000E-005|=4,232000E-005|=4,204000E-005|=4,231000E-005|=4,247000E-005|=4,238000E-005|1,000000e-008|100000
4|16388|255|256|767|528|12|2|27|=1,977000E-004|=1,976000E-004|=1,968000E-004|=1,963000E-004|=1,952000E-004|=1,948000E-004|=1,943000E-004|=1,945000E-004|=1,967000E-004|=1,937000E-004|1,000000e-007|10000
5|65540|1023|1024|3071|636|15|2|33|=1,054000E-003|=1,059000E-003|=1,062000E-003|=1,053000E-003|=1,057000E-003|=1,058000E-003|=1,037000E-003|=1,046000E-003|=1,040000E-003|=1,055000E-003|1,000000e-006|1000
6|262148|4095|4096|12287|744|18|2|39|=9,372000E-003|=9,413000E-003|=9,405000E-003|=9,404000E-003|=9,347000E-003|=9,337000E-003|=9,331000E-003|=9,409000E-003|=9,436000E-003|=9,326000E-003|1,000000e-006|1000
7|1048580|16383|16384|49151|852|21|2|45|=1,749000E-001|=1,710000E-001|=1,734000E-001|=1,754000E-001|=1,752000E-001|=1,741000E-001|=1,708000E-001|=1,787000E-001|=1,787000E-001|=1,769000E-001|1,000000e-004|10
8|4194308|65535|65536|196607|960|24|2|51|=2,971000E+000|=3,107000E+000|=2,882000E+000|=3,156000E+000|=3,097000E+000|=3,150000E+000|=2,868000E+000|=2,985000E+000|=3,087000E+000|=3,117000E+000|1,000000e-003|10
9|16777220|262143|262144|786431|1068|27|2|57|=5,409200E+001|=5,113700E+001|=5,095700E+001|=5,452800E+001|=5,331600E+001|=5,182500E+001|=5,246200E+001|=5,211800E+001|=5,253100E+001|=5,219000E+001|1,000000e-003|10
