sep=|
|mem|iM|iF|iL|mem|iM|iF|iL|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|implicita
1|260|3|4|11|168|2|2|7|=1,094000E-006|=1,078000E-006|=1,078000E-006|=1,078000E-006|=1,094000E-006|=1,079000E-006|=1,078000E-006|=1,093000E-006|=1,078000E-006|=1,078000E-006|=1,079000E-006|=1,093000E-006|=1,078000E-006|=1,115000E-006|=1,078000E-006|=1,078000E-006|=1,125000E-006|=1,078000E-006|=1,079000E-006|=1,078000E-006|=1,079000E-006|=1,078000E-006|=1,078000E-006|=1,078000E-006|=1,078000E-006|=1,078000E-006|=1,078000E-006|=1,094000E-006|=1,076000E-006|=1,079000E-006|=1,000000E-009
2|1028|15|16|47|312|6|2|15|=7,734000E-006|=7,826000E-006|=7,719000E-006|=7,703000E-006|=7,719000E-006|=7,734000E-006|=7,703000E-006|=7,703000E-006|=7,703000E-006|=7,719000E-006|=7,703000E-006|=7,719000E-006|=7,732000E-006|=7,703000E-006|=7,704000E-006|=7,719000E-006|=7,703000E-006|=7,688000E-006|=7,925000E-006|=7,687000E-006|=7,688000E-006|=7,703000E-006|=7,703000E-006|=7,719000E-006|=7,703000E-006|=7,703000E-006|=7,703000E-006|=7,719000E-006|=7,703000E-006|=7,703000E-006|=1,000000E-009
3|4100|63|64|191|456|10|2|23|=3,985000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=3,984000E-005|=4,000000E-005|=3,985000E-005|=4,016000E-005|=4,000000E-005|=4,000000E-005|=3,984000E-005|=3,984000E-005|=4,013000E-005|=4,000000E-005|=3,984000E-005|=4,000000E-005|=3,984000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=4,000000E-005|=3,998000E-005|=3,985000E-005|=1,000000E-008
4|16388|255|256|767|600|14|2|31|=1,860000E-004|=1,859000E-004|=1,859000E-004|=1,859000E-004|=1,860000E-004|=1,859000E-004|=1,859000E-004|=1,858000E-004|=1,859000E-004|=1,860000E-004|=1,870000E-004|=1,875000E-004|=1,860000E-004|=1,860000E-004|=1,859000E-004|=1,859000E-004|=1,891000E-004|=1,875000E-004|=1,892000E-004|=1,921000E-004|=1,859000E-004|=1,859000E-004|=1,859000E-004|=1,859000E-004|=1,860000E-004|=1,875000E-004|=1,859000E-004|=1,875000E-004|=1,859000E-004|=1,858000E-004|=1,000000E-007
5|65540|1023|1024|3071|744|18|2|39|=9,797000E-004|=9,813000E-004|=9,766000E-004|=9,859000E-004|=9,766000E-004|=9,782000E-004|=9,765000E-004|=9,781000E-004|=9,766000E-004|=9,766000E-004|=9,764000E-004|=9,781000E-004|=9,750000E-004|=9,750000E-004|=9,766000E-004|=9,750000E-004|=9,797000E-004|=9,735000E-004|=9,766000E-004|=9,734000E-004|=9,750000E-004|=9,764000E-004|=9,750000E-004|=9,735000E-004|=9,765000E-004|=9,750000E-004|=9,748000E-004|=9,830000E-004|=9,766000E-004|=9,750000E-004|=1,000000E-007
6|262148|4095|4096|12287|888|22|2|47|=9,292000E-003|=9,187000E-003|=9,297000E-003|=9,204000E-003|=9,170000E-003|=9,234000E-003|=9,156000E-003|=9,281000E-003|=9,297000E-003|=9,234000E-003|=9,235000E-003|=9,157000E-003|=9,141000E-003|=9,250000E-003|=9,156000E-003|=9,203000E-003|=9,203000E-003|=9,418000E-003|=9,125000E-003|=9,234000E-003|=9,078000E-003|=9,183000E-003|=9,047000E-003|=9,219000E-003|=9,156000E-003|=9,217000E-003|=9,187000E-003|=9,187000E-003|=9,265000E-003|=9,156000E-003|=1,000000E-006
7|1048580|16383|16384|49151|1032|26|2|55|=1,375000E-001|=1,360000E-001|=1,391000E-001|=1,376000E-001|=1,360000E-001|=1,375000E-001|=1,375000E-001|=1,390000E-001|=1,391000E-001|=1,359000E-001|=1,359000E-001|=1,375000E-001|=1,359000E-001|=1,390000E-001|=1,391000E-001|=1,360000E-001|=1,391000E-001|=1,375000E-001|=1,375000E-001|=1,391000E-001|=1,375000E-001|=1,359000E-001|=1,375000E-001|=1,391000E-001|=1,375000E-001|=1,375000E-001|=1,375000E-001|=1,357000E-001|=1,390000E-001|=1,375000E-001|=1,000000E-004
8|4194308|65535|65536|196607|1176|30|2|63|=2,672000E+000|=2,532000E+000|=2,594000E+000|=2,594000E+000|=2,625000E+000|=2,578000E+000|=2,593000E+000|=2,640000E+000|=2,547000E+000|=2,563000E+000|=2,625000E+000|=2,735000E+000|=2,594000E+000|=2,703000E+000|=2,594000E+000|=2,578000E+000|=2,594000E+000|=2,563000E+000|=2,625000E+000|=2,609000E+000|=2,688000E+000|=2,613000E+000|=2,640000E+000|=2,594000E+000|=2,531000E+000|=2,704000E+000|=2,594000E+000|=2,578000E+000|=2,578000E+000|=2,593000E+000|=1,000000E-003
9|16777220|262143|262144|786431|1320|34|2|71|=5,471300E+001|=5,409000E+001|=5,387400E+001|=5,434300E+001|=5,403000E+001|=5,326400E+001|=5,537600E+001|=5,421400E+001|=5,529500E+001|=5,585800E+001|=5,484300E+001|=5,437400E+001|=5,453100E+001|=5,457500E+001|=5,313900E+001|=5,376400E+001|=5,601400E+001|=5,325800E+001|=5,526600E+001|=5,505800E+001|=5,346700E+001|=5,335900E+001|=5,573300E+001|=5,424400E+001|=5,466800E+001|=5,284500E+001|=5,721700E+001|=5,315400E+001|=5,299900E+001|=5,302800E+001|=1,000000E-003
