sep=|
0|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
1|2,000000|-26815634942285004401331897811199161334144795855827623584601145427664839254357853499754105696412163681836519665389082932986202786771914363279321609409658880,000000
2|-0,000000|-0,000000
3|-0,000000|-0,000000
4|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
5|-0,000000|-0,000000
6|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
7|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
8|0,000000|0,000000
9|-0,000000|0,000000
10|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
11|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
12|0,000000|0,000000
13|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-26815622170906088473150033840894760018310807043156827701111224110718449460127405492389856153382324274734728065988525719513835837943437960019404764968124416,000000
14|0,000000|0,000000
15|0,000000|0,000000
16|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
17|-0,000000|-0,000000
18|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
19|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
20|-0,000000|0,000000
21|-0,000000|0,000000
22|-0,000000|0,000000
23|-0,000000|0,000000
24|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
25|0,000000|0,000000
26|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
27|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
28|-0,000000|26815622148153986833789220442566678226169830207181701339543648296948702068450138240550307469272432260821483764883947932648778255004620830832709599416549376,000000
29|-0,000000|-26815622167593148543381056779515789041552883638108631844287294098214380677279738590351587202912929447593308072074140143605006335521522023030565342040555520,000000
